basin,NSE,RMSE,KGE
10,0.9939660429954529,0.38307638220793794,0.9671918133181711
118,0.565894603729248,0.6279146895686536,0.5580151223497629
120,0.2296288013458252,0.6576814480171137,0.7454384530139371
122,0.6944431066513062,0.5579152287793974,0.7986516892912545
123,0.34476375579833984,0.5538493526704633,0.6507555239294404
124,0.7100783586502075,0.46709234869857724,0.863235481293702
130,0.9750689268112183,0.6597045617221539,0.9673825564508723
132,0.9839756488800049,0.8438002606716327,0.9687676647313436
135,0.9860386252403259,0.5481322142540564,0.9378055520111173
136,0.9927967190742493,0.485798068143475,0.9694561041823743
137,0.9909129738807678,0.5348581193692629,0.9567417353357796
14,0.9905169606208801,0.46822066619364844,0.9510350047579089
140,0.9937820434570312,0.5024162263927892,0.9691640985787866
166,0.9927616119384766,0.4547052615914376,0.9537025457254936
17,0.9891641139984131,0.42783579211921063,0.929570163509042
171,0.9753451347351074,0.46837531055514464,0.9597445814989602
172,0.988776445388794,0.370853486835031,0.9832213586009025
173,0.9838272929191589,0.40087714061278534,0.9553382047308164
184,0.9878455996513367,0.3750331983176355,0.9885621927350993
185,0.9870462417602539,0.3907002376578618,0.9718075743807728
197,0.9896845817565918,0.44542073724645354,0.9564356361326796
21,0.9959163665771484,0.4280399467741667,0.9789380797709512
212,0.966971755027771,0.6097728701936338,0.9460843886508217
214,0.9792054891586304,0.584700639537333,0.9394892831296395
216,0.9875232577323914,0.5452100750500918,0.9656847695170493
217,0.9426437616348267,0.4633311014870651,0.9377459245825165
219,0.969390869140625,0.3870108878516365,0.9793571810397124
220,0.945817232131958,0.39490838485301316,0.9372775972669253
221,0.9476471543312073,0.45575761615418003,0.935089674478166
222,0.9559266567230225,0.5410190127710802,0.9456215141614888
223,0.9491718411445618,0.5254295363073973,0.9711978068834914
225,0.955380916595459,0.5732690912071366,0.9387714702663774
226,0.9425517916679382,0.6792638488778602,0.9448614140359517
23,0.993819534778595,0.42127449954863805,0.9537902014776793
230,0.9934756755828857,0.5846723248924935,0.9802878228968854
233,0.9911969304084778,0.5024016042946452,0.9661936715861289
234,0.966488778591156,0.5677921834028727,0.9444142943311367
236,0.9389305114746094,0.6352147318249919,0.9635211464467153
237,0.9558004140853882,0.5459990980119905,0.9647722160742945
239,0.9351399540901184,0.674930477977262,0.912262140688869
241,0.9934914112091064,0.5750351895054917,0.9625474320190713
242,0.9602696299552917,0.551185567727656,0.960445028986149
245,0.9425622224807739,0.5129257120418947,0.9038133573985498
252,0.9450696110725403,0.5483573713753782,0.944443358791631
254,0.991756796836853,0.5182594277701624,0.9636915358811959
255,0.9714429378509521,0.5872149973344366,0.935426174820146
256,0.9914152026176453,0.5220606901835497,0.9646600120482441
267,0.9935570359230042,0.3962849834414576,0.9822772810633135
274,0.9923514127731323,0.45678430390222785,0.9563948057589636
276,0.9916400909423828,0.42469091536135944,0.9902717111962811
277,0.9913073778152466,0.4090576718295342,0.9647851693597185
279,0.9942448735237122,0.39603688209903765,0.9713995561168542
28,0.9954749941825867,0.4521564458216112,0.9898274071616141
280,0.9932014346122742,0.34912222481924515,0.9722502265530112
283,0.9919242262840271,0.40156965880191325,0.9810352687036115
285,0.9890296459197998,0.5070863961205915,0.9789600186438387
286,0.994192898273468,0.4209434325912404,0.9824348346813129
29,0.9926196932792664,0.4894534422317049,0.9557414752759945
291,0.9895489811897278,0.4755625944264068,0.9749763814540866
292,0.9935471415519714,0.4307716563930705,0.9818177585920301
296,0.9919108152389526,0.4313765015477875,0.9814547292863691
298,0.9790095090866089,0.6448444645782719,0.972387030910522
305,0.9936811327934265,0.38114312190345684,0.9864308413839379
306,0.9925848245620728,0.548768416988519,0.9690539456222637
307,0.9834591150283813,0.5890483166431542,0.9542746153858869
309,0.9915352463722229,0.4918921507883247,0.9653522288366093
310,0.9929271340370178,0.5044929282861957,0.9729648273618539
315,0.992784857749939,0.4324727043182219,0.9759764842872032
319,0.9868589043617249,0.590566962281889,0.9607307600170477
32,0.9868422746658325,0.34690240502569836,0.9821858040580184
321,0.9927909970283508,0.48044229450118753,0.9712251501182729
323,0.9936769604682922,0.45907134185855825,0.97602617455422
324,0.9557941555976868,1.1462081238430293,0.9268131115181131
326,0.9666139483451843,1.014290387566928,0.8945397495233092
328,0.9922989010810852,0.3967563279013253,0.9685170744378838
34,0.99468594789505,0.39621827163986334,0.9758512958543956
4,0.9934481382369995,0.4966411574131175,0.9472373667241487
43,0.9875227808952332,0.3705572767927052,0.9519681579955801
44,0.9225655198097229,0.49000341742647313,0.9506697320118245
45,0.9855698943138123,0.3700279993984528,0.9731986004927545
46,0.9821615815162659,0.3600607838575708,0.9320353768220341
47,0.9430776238441467,0.4272798187024314,0.8902810981860731
49,0.9620485305786133,0.7341581389646001,0.9558543915417999
51,0.9896102547645569,0.5429255241916721,0.9577314700796163
53,0.9649838805198669,0.6776332285046662,0.977873695662019
55,0.9666747450828552,0.5805499537312784,0.9832044402695673
56,0.9012216925621033,0.8926248350379662,0.8677331830758334
58,0.9903459548950195,0.45979178005033317,0.9612445756672024
59,0.9613755345344543,0.5303679605053256,0.9603847040843496
6,0.9942751526832581,0.38558180166736844,0.9628587439355553
60,0.9628676772117615,0.5088506503912619,0.9752821899167315
65,0.9516441822052002,0.4402745009433066,0.9745370994890341
66,0.9792752861976624,0.5085440721289558,0.9522931843061826
7,0.9924337863922119,0.3550725762297752,0.9699433091135735
73,0.9930633902549744,0.44582090301060107,0.9805933358664999
77,0.9936972856521606,0.4863774684401211,0.9743413627601999
83,0.9928520321846008,0.45318956572830343,0.9790018354372533
86,0.9932717680931091,0.4714270916441816,0.9532089587935901
9,0.9943565130233765,0.4544449850963034,0.9740173523096244
92,0.9950457215309143,0.36140164838698907,0.9630138268344836
